Date,AAPL
1/24/22,161.62
1/25/22,159.78
1/26/22,159.69
1/27/22,159.22
1/28/22,170.33
1/31/22,174.78
2/1/22,174.61
2/2/22,175.84
2/3/22,172.9
2/4/22,172.39
2/7/22,171.66
2/8/22,174.83
2/9/22,176.28
2/10/22,172.12
2/11/22,168.64
2/14/22,168.88
2/15/22,172.79
2/16/22,172.55
2/17/22,168.88
2/18/22,167.3
2/22/22,164.32
2/23/22,160.07
2/24/22,162.74
2/25/22,164.85
2/28/22,165.12
3/1/22,163.2
3/2/22,166.56
3/3/22,166.23
3/4/22,163.17
3/7/22,159.3
3/8/22,157.44
3/9/22,162.95
3/10/22,158.52
3/11/22,154.73
3/14/22,150.62
3/15/22,155.09
3/16/22,159.59
3/17/22,160.62
3/18/22,163.98
3/21/22,165.38
3/22/22,168.82
3/23/22,170.21
3/24/22,174.07
3/25/22,174.72
3/28/22,175.6
3/29/22,178.96
3/30/22,177.77
3/31/22,174.61
4/1/22,174.31
4/4/22,178.44
4/5/22,175.06
4/6/22,171.83
4/7/22,172.14
4/8/22,170.09
4/11/22,165.75
4/12/22,167.66
4/13/22,170.4
4/14/22,165.29
4/18/22,165.07
4/19/22,167.4
4/20/22,167.23
4/21/22,166.42
4/22/22,161.79
4/25/22,162.88
4/26/22,156.8
4/27/22,156.57
4/28/22,163.64
4/29/22,157.65
5/2/22,157.96
5/3/22,159.48
5/4/22,166.02
5/5/22,156.77
5/6/22,157.28
5/9/22,152.06
5/10/22,154.51
5/11/22,146.5
5/12/22,142.56
5/13/22,147.11
5/16/22,145.54
5/17/22,149.24
5/18/22,140.82
5/19/22,137.35
5/20/22,137.59
5/23/22,143.11
5/24/22,140.36
5/25/22,140.52
5/26/22,143.78
5/27/22,149.64
5/31/22,148.84
6/1/22,148.71
6/2/22,151.21
6/3/22,145.38
6/6/22,146.14
6/7/22,148.71
6/8/22,147.96
6/9/22,142.64
6/10/22,137.13
6/13/22,131.88
6/14/22,132.76
6/15/22,135.43
6/16/22,130.06
6/17/22,131.56
6/21/22,135.87
6/22/22,135.35
6/23/22,138.27
6/24/22,141.66
6/27/22,141.66
6/28/22,137.44
6/29/22,139.23
6/30/22,136.72
7/1/22,138.93
7/5/22,141.56
7/6/22,142.92
7/7/22,146.35
7/8/22,147.04
7/11/22,144.87
7/12/22,145.86
7/13/22,145.49
7/14/22,148.47
7/15/22,150.17
7/18/22,147.07
7/19/22,151
7/20/22,153.04
7/21/22,155.35
7/22/22,154.09
7/25/22,152.95
7/26/22,151.6
7/27/22,156.79
7/28/22,157.35
7/29/22,162.51
8/1/22,161.51
8/2/22,160.01
8/3/22,166.13
8/4/22,165.81
8/5/22,165.35
8/8/22,164.87
8/9/22,164.92
8/10/22,169.24
8/11/22,168.49
8/12/22,172.1
8/15/22,173.19
8/16/22,173.03
8/17/22,174.55
8/18/22,174.15
8/19/22,171.52
8/22/22,167.57
8/23/22,167.23
8/24/22,167.53
8/25/22,170.03
8/26/22,163.62
8/29/22,161.38
8/30/22,158.91
8/31/22,157.22
9/1/22,157.96
9/2/22,155.81
9/6/22,154.53
9/7/22,155.96
9/8/22,154.46
9/9/22,157.37
9/12/22,163.43
9/13/22,153.84
9/14/22,155.31
9/15/22,152.37
9/16/22,150.7
9/19/22,154.48
9/20/22,156.9
9/21/22,153.72
9/22/22,152.74
9/23/22,150.43
9/26/22,150.77
9/27/22,151.76
9/28/22,149.84
9/29/22,142.48
9/30/22,138.2
10/3/22,142.45
10/4/22,146.1
10/5/22,146.4
10/6/22,145.43
10/7/22,140.09
10/10/22,140.42
10/11/22,138.98
10/12/22,138.34
10/13/22,142.99
10/14/22,138.38
10/17/22,142.41
10/18/22,143.75
10/19/22,143.86
10/20/22,143.39
10/21/22,147.27
10/24/22,149.45
10/25/22,152.34
10/26/22,149.35
10/27/22,144.8
10/28/22,155.74
10/31/22,153.34
11/1/22,150.65
11/2/22,145.03
11/3/22,138.88
11/4/22,138.38
11/7/22,138.92
11/8/22,139.5
11/9/22,134.87
11/10/22,146.87
11/11/22,149.7
11/14/22,148.28
11/15/22,150.04
11/16/22,148.79
11/17/22,150.72
11/18/22,151.29
11/21/22,148.01
11/22/22,150.18
11/23/22,151.07
11/25/22,148.11
11/28/22,144.22
11/29/22,141.17
11/30/22,148.03
12/1/22,148.31
12/2/22,147.81
12/5/22,146.63
12/6/22,142.91
12/7/22,140.94
12/8/22,142.65
12/9/22,142.16
12/12/22,144.49
12/13/22,145.47
12/14/22,143.21
12/15/22,136.5
12/16/22,134.51
12/19/22,132.37
12/20/22,132.3
12/21/22,135.45
12/22/22,132.23
12/23/22,131.86
12/27/22,130.03
12/28/22,126.04
12/29/22,129.61
12/30/22,129.93
1/3/23,125.07
1/4/23,126.36
1/5/23,125.02
1/6/23,129.62
1/9/23,130.15
1/10/23,130.73
1/11/23,133.49
1/12/23,133.41
1/13/23,134.76
1/17/23,135.94
1/18/23,135.21
1/19/23,135.27
1/20/23,137.87